escena,entrada,gt_People,gt_Lamp,tp_People,tp_Lamp,recupera_People,recupera_Lamp,recupera_ambas
00186,PiramideLaplace,6,1,3,1,1,1,1
00186,RatioPiramide,6,1,3,1,1,1,1
00186,DWT,6,1,3,1,1,1,1
00186,DTCWT,6,1,2,1,1,1,1
00186,Curvelet,6,1,2,1,1,1,1
00186,TopHat_Clasico,6,1,1,1,1,1,1
00186,Propuesta_Novedosa,6,1,1,1,1,1,1
00187,VIS,6,1,1,1,1,1,1
00187,IR,6,1,5,1,1,1,1
00187,PiramideLaplace,6,1,3,1,1,1,1
00187,RatioPiramide,6,1,6,1,1,1,1
00187,DWT,6,1,4,1,1,1,1
00187,DTCWT,6,1,3,1,1,1,1
00187,Curvelet,6,1,2,1,1,1,1
00187,TopHat_Clasico,6,1,1,1,1,1,1
00187,Propuesta_Novedosa,6,1,0,1,0,1,0
00188,VIS,6,1,0,1,0,1,0
00188,IR,6,1,3,1,1,1,1
00188,PiramideLaplace,6,1,4,1,1,1,1
00188,RatioPiramide,6,1,3,1,1,1,1
00188,DWT,6,1,4,1,1,1,1
00188,DTCWT,6,1,3,1,1,1,1
00188,Curvelet,6,1,2,1,1,1,1
00188,TopHat_Clasico,6,1,3,1,1,1,1
00188,Propuesta_Novedosa,6,1,0,1,0,1,0
00191,VIS,6,1,2,1,1,1,1
00191,IR,6,1,6,1,1,1,1
00191,PiramideLaplace,6,1,6,1,1,1,1
00191,RatioPiramide,6,1,6,1,1,1,1
00191,DWT,6,1,6,1,1,1,1
00191,DTCWT,6,1,6,1,1,1,1
00191,Curvelet,6,1,6,1,1,1,1
00191,TopHat_Clasico,6,1,6,1,1,1,1
00191,Propuesta_Novedosa,6,1,6,1,1,1,1
00193,VIS,6,1,4,1,1,1,1
00193,IR,6,1,6,1,1,1,1
00193,PiramideLaplace,6,1,6,1,1,1,1
00193,RatioPiramide,6,1,6,1,1,1,1
00193,DWT,6,1,6,1,1,1,1
00193,DTCWT,6,1,6,1,1,1,1
00193,Curvelet,6,1,6,1,1,1,1
00193,TopHat_Clasico,6,1,5,1,1,1,1
00193,Propuesta_Novedosa,6,1,4,1,1,1,1
00196,VIS,9,3,6,2,1,1,1
00196,IR,9,3,8,2,1,1,1
00196,PiramideLaplace,9,3,8,2,1,1,1
00196,RatioPiramide,9,3,8,2,1,1,1
00196,DWT,9,3,8,2,1,1,1
00196,DTCWT,9,3,8,2,1,1,1
00196,Curvelet,9,3,7,2,1,1,1
00196,TopHat_Clasico,9,3,7,2,1,1,1
00196,Propuesta_Novedosa,9,3,8,2,1,1,1
00199,VIS,7,2,7,2,1,1,1
00199,IR,7,2,7,1,1,1,1
00199,PiramideLaplace,7,2,7,2,1,1,1
00199,RatioPiramide,7,2,7,1,1,1,1
00199,DWT,7,2,7,1,1,1,1
00199,DTCWT,7,2,7,2,1,1,1
00199,Curvelet,7,2,7,2,1,1,1
00199,TopHat_Clasico,7,2,7,1,1,1,1
