r,m,clave,detectado
5,0.1,193|People|1,1
5,0.1,193|People|2,1
5,0.1,193|People|3,1
5,0.1,193|People|4,1
5,0.1,193|People|5,1
5,0.1,193|Lamp|0,1
5,0.1,196|People|0,1
5,0.1,196|People|1,0
5,0.1,196|People|2,1
5,0.1,196|People|3,1
5,0.1,196|People|4,1
5,0.1,196|People|5,0
5,0.1,196|People|6,1
5,0.1,196|People|7,1
5,0.1,196|People|8,1
5,0.1,196|Lamp|0,1
5,0.1,196|Lamp|1,1
5,0.1,196|Lamp|2,0
5,0.1,199|People|0,1
5,0.1,199|People|1,1
5,0.1,199|People|2,1
5,0.1,199|People|3,1
5,0.1,199|People|4,1
5,0.1,199|People|5,1
5,0.1,199|People|6,1
5,0.1,199|Lamp|0,1
5,0.1,199|Lamp|1,1
5,0.1,204|People|0,1
5,0.1,204|People|1,1
5,0.1,204|People|2,1
5,0.1,204|People|3,1
5,0.1,204|People|4,1
5,0.1,204|People|5,1
5,0.1,204|People|6,1
5,0.1,204|People|7,1
5,0.1,204|Lamp|0,1
5,0.1,204|Lamp|1,1
5,0.1,204|Lamp|2,1
5,0.1,205|People|0,0
5,0.1,205|People|1,1
5,0.1,205|People|2,1
5,0.1,205|People|3,1
5,0.1,205|People|4,1
5,0.1,205|People|5,1
5,0.1,205|People|6,1
5,0.1,205|People|7,0
5,0.1,205|People|8,1
5,0.1,205|Lamp|0,1
5,0.1,205|Lamp|1,1
5,0.1,205|Lamp|2,0
5,0.1,206|People|0,1
5,0.1,206|People|1,1
5,0.1,206|People|2,1
5,0.1,206|People|3,1
5,0.1,206|People|4,1
5,0.1,206|People|5,0
5,0.1,206|People|6,0
5,0.1,206|People|7,0
5,0.1,206|Lamp|0,1
5,0.1,209|People|0,1
5,0.1,209|Lamp|0,1
5,0.1,210|People|0,1
5,0.1,210|People|1,1
5,0.1,210|People|2,0
5,0.1,210|Lamp|0,1
5,0.1,213|People|0,1
5,0.1,213|People|1,1
5,0.1,213|People|2,1
5,0.1,213|People|3,0
5,0.1,213|People|4,0
5,0.1,213|People|5,0
5,0.1,213|People|6,0
5,0.1,213|People|7,0
5,0.1,213|Lamp|0,1
5,0.1,213|Lamp|1,1
5,0.1,213|Lamp|2,0
5,0.1,217|People|0,0
5,0.1,217|People|1,0
5,0.1,217|Lamp|0,0
5,0.1,222|People|0,1
5,0.1,222|People|1,1
5,0.1,222|People|2,0
5,0.1,222|People|3,1
5,0.1,222|People|4,1
5,0.1,222|People|5,1
5,0.1,222|People|6,1
5,0.1,222|People|7,0
5,0.1,222|People|8,1
5,0.1,222|Lamp|0,0
5,0.1,222|Lamp|1,0
5,0.1,222|Lamp|2,1
5,0.1,222|Lamp|3,1
5,0.1,222|Lamp|4,1
5,0.1,222|Lamp|5,1
5,0.1,222|Lamp|6,0
5,0.1,231|People|0,0
5,0.1,231|People|1,1
5,0.1,231|People|2,1
5,0.1,231|People|3,1
5,0.1,231|People|4,1
5,0.1,231|People|5,1
5,0.1,231|People|6,1
5,0.1,231|People|7,1
5,0.1,231|People|8,1
5,0.1,231|People|9,1
5,0.1,231|People|10,0
5,0.1,231|People|11,0
5,0.1,231|Lamp|0,0
5,0.1,231|Lamp|1,1
5,0.1,231|Lamp|2,1
5,0.1,231|Lamp|3,1
5,0.1,231|Lamp|4,1
5,0.1,232|People|0,0
5,0.1,232|People|1,0
5,0.1,232|People|2,0
5,0.1,232|People|3,0
5,0.1,232|People|4,0
5,0.1,232|People|5,1
5,0.1,232|People|6,1
5,0.1,232|People|7,1
5,0.1,232|People|8,1
5,0.1,232|People|9,0
5,0.1,232|People|10,0
5,0.1,232|People|11,0
5,0.1,232|Lamp|0,1
5,0.1,232|Lamp|1,0
5,0.1,232|Lamp|2,1
5,0.1,232|Lamp|3,1
5,0.1,232|Lamp|4,0
5,0.1,232|Lamp|5,0
5,0.1,240|People|0,1
5,0.1,240|People|1,0
5,0.1,240|People|2,1
5,0.1,240|People|3,1
5,0.1,240|People|4,1
5,0.1,240|People|5,1
5,0.1,240|People|6,0
5,0.1,240|Lamp|0,0
5,0.1,240|Lamp|1,0
5,0.1,240|Lamp|2,1
5,0.1,240|Lamp|3,0
5,0.1,240|Lamp|4,0
5,0.1,388|People|0,1
5,0.1,388|People|1,1
5,0.1,388|People|2,1
5,0.1,388|People|3,1
5,0.1,388|People|4,1
5,0.1,388|People|5,1
5,0.1,388|People|6,1
5,0.1,388|People|7,1
5,0.1,388|People|8,1
5,0.1,388|People|9,1
5,0.1,388|Lamp|0,1
5,0.1,389|People|0,1
5,0.1,389|People|1,1
5,0.1,389|People|2,0
5,0.1,389|People|3,1
5,0.1,389|People|4,1
5,0.1,389|People|5,1
5,0.1,389|People|6,1
5,0.1,389|People|7,1
5,0.1,389|People|8,1
5,0.1,389|People|9,1
5,0.1,389|Lamp|0,0
5,0.1,389|Lamp|1,1
5,0.1,392|People|0,1
5,0.1,392|People|1,0
5,0.1,392|People|2,0
5,0.1,392|People|3,1
5,0.1,392|Lamp|0,1
5,0.1,392|Lamp|1,1
5,0.1,394|People|0,1
5,0.1,394|People|1,1
5,0.1,394|People|2,1
5,0.1,394|People|3,1
5,0.1,394|People|4,1
5,0.1,394|People|5,1
5,0.1,394|Lamp|0,1
5,0.1,394|Lamp|1,1
5,0.1,395|People|0,0
5,0.1,395|People|1,0
5,0.1,395|People|2,1
5,0.1,395|People|3,1
5,0.1,395|People|4,1
5,0.1,395|People|5,1
5,0.1,395|People|6,1
5,0.1,395|Lamp|0,1
5,0.1,395|Lamp|1,1
5,0.1,396|People|0,0
5,0.1,396|People|1,0
5,0.1,396|People|2,1
5,0.1,396|People|3,0
5,0.1,396|People|4,1
5,0.1,396|People|5,1
5,0.1,396|Lamp|0,1
5,0.1,396|Lamp|1,1
5,0.1,409|People|0,1
5,0.1,409|People|1,1
5,0.1,409|People|2,0
5,0.1,409|People|3,1
5,0.1,409|People|4,0
5,0.1,409|Lamp|0,0
5,0.1,410|People|0,1
5,0.1,410|People|1,0
5,0.1,410|People|2,0
5,0.1,410|People|3,1
5,0.1,410|People|4,0
5,0.1,410|People|5,1
5,0.1,410|Lamp|0,1
5,0.1,413|People|0,1
5,0.1,413|People|1,1
5,0.1,413|People|2,1
5,0.1,413|People|3,0
5,0.1,413|People|4,1
5,0.1,413|People|5,0
5,0.1,413|Lamp|0,0
5,0.1,419|People|0,0
5,0.1,419|People|1,0
5,0.1,419|Lamp|0,1
5,0.1,419|Lamp|1,1
5,0.1,422|People|0,1
5,0.1,422|People|1,1
5,0.1,422|People|2,1
5,0.1,422|People|3,1
5,0.1,422|People|4,1
5,0.1,422|Lamp|0,0
5,0.1,425|People|0,0
5,0.1,425|People|1,1
5,0.1,425|People|2,1
5,0.1,425|People|3,1
5,0.1,425|People|4,0
5,0.1,425|People|5,1
5,0.1,425|People|6,1
5,0.1,425|People|7,0
5,0.1,425|Lamp|0,0
5,0.1,427|People|0,0
5,0.1,427|People|1,0
5,0.1,427|People|2,0
5,0.1,427|People|3,1
5,0.1,427|People|4,1
5,0.1,427|People|5,0
5,0.1,427|People|6,1
5,0.1,427|People|7,1
5,0.1,427|Lamp|0,0
5,0.1,428|People|0,0
5,0.1,428|People|1,0
5,0.1,428|People|2,1
5,0.1,428|People|3,1
5,0.1,428|People|4,1
5,0.1,428|People|5,1
5,0.1,428|People|6,1
5,0.1,428|Lamp|0,0
5,0.1,438|People|0,1
5,0.1,438|People|1,1
5,0.1,438|People|2,0
5,0.1,438|People|3,0
5,0.1,438|People|4,0
5,0.1,438|Lamp|0,1
5,0.1,438|Lamp|1,1
5,0.1,438|Lamp|2,1
5,0.1,438|Lamp|3,1
5,0.1,440|People|0,1
5,0.1,440|People|1,1
5,0.1,440|People|2,0
5,0.1,440|People|3,0
5,0.1,440|People|4,0
5,0.1,440|People|5,0
5,0.1,440|People|6,0
5,0.1,440|Lamp|0,1
5,0.1,440|Lamp|1,1
5,0.1,440|Lamp|2,1
5,0.1,440|Lamp|3,1
5,0.1,442|People|0,1
5,0.1,442|People|1,1
5,0.1,442|People|2,0
5,0.1,442|People|3,0
5,0.1,442|People|4,0
5,0.1,442|People|5,1
5,0.1,442|People|6,1
5,0.1,442|People|7,1
5,0.1,442|Lamp|0,1
5,0.1,442|Lamp|1,1
5,0.1,442|Lamp|2,1
5,0.1,442|Lamp|3,1
5,0.1,444|People|0,1
5,0.1,444|People|1,1
5,0.1,444|People|2,0
5,0.1,444|People|3,0
5,0.1,444|People|4,0
5,0.1,444|People|5,0
5,0.1,444|Lamp|0,1
5,0.1,444|Lamp|1,1
5,0.1,444|Lamp|2,1
5,0.1,444|Lamp|3,1
5,0.1,448|People|0,1
5,0.1,448|People|1,1
5,0.1,448|People|2,1
5,0.1,448|People|3,0
5,0.1,448|People|4,0
5,0.1,448|People|5,0
5,0.1,448|People|6,0
5,0.1,448|Lamp|0,1
5,0.1,448|Lamp|1,1
5,0.1,448|Lamp|2,0
5,0.1,448|Lamp|3,1
5,0.1,448|Lamp|4,0
5,0.1,448|Lamp|5,0
5,0.1,449|People|0,1
5,0.1,449|People|1,1
5,0.1,449|People|2,1
5,0.1,449|People|3,0
5,0.1,449|People|4,0
5,0.1,449|People|5,0
5,0.1,449|Lamp|0,0
5,0.1,449|Lamp|1,1
5,0.1,449|Lamp|2,1
5,0.1,449|Lamp|3,0
5,0.1,449|Lamp|4,1
5,0.1,452|People|0,1
5,0.1,452|People|1,1
5,0.1,452|Lamp|0,1
5,0.1,452|Lamp|1,0
5,0.1,452|Lamp|2,1
5,0.1,453|People|0,1
5,0.1,453|Lamp|0,1
5,0.1,453|Lamp|1,1
5,0.1,453|Lamp|2,0
5,0.1,453|Lamp|3,1
5,0.1,459|People|0,0
5,0.1,459|People|1,0
5,0.1,459|People|2,1
5,0.1,459|People|3,1
5,0.1,459|People|4,1
5,0.1,459|People|5,1
5,0.1,459|Lamp|0,0
5,0.1,459|Lamp|1,0
5,0.1,459|Lamp|2,0
5,0.1,462|People|0,1
5,0.1,462|People|1,1
5,0.1,462|People|2,1
5,0.1,462|People|3,1
5,0.1,462|People|4,1
5,0.1,462|People|5,1
5,0.1,462|People|6,1
5,0.1,462|Lamp|0,1
5,0.1,462|Lamp|1,0
5,0.1,466|People|0,1
5,0.1,466|People|1,1
5,0.1,466|People|2,1
5,0.1,466|People|3,1
5,0.1,466|People|4,1
5,0.1,466|People|5,1
5,0.1,466|Lamp|0,1
5,0.1,466|Lamp|1,0
5,0.1,468|People|0,1
5,0.1,468|People|1,1
5,0.1,468|People|2,1
5,0.1,468|People|3,1
5,0.1,468|People|4,1
5,0.1,468|People|5,1
5,0.1,468|People|6,1
5,0.1,468|Lamp|0,1
5,0.1,468|Lamp|1,0
5,0.1,470|People|0,1
5,0.1,470|People|1,0
5,0.1,470|Lamp|0,1
5,0.1,476|People|0,0
5,0.1,476|People|1,1
5,0.1,476|Lamp|0,0
5,0.1,478|People|0,0
5,0.1,478|Lamp|0,0
5,0.1,479|People|0,1
5,0.1,479|Lamp|0,1
5,0.1,480|People|0,1
5,0.1,480|People|1,0
5,0.1,480|People|2,0
5,0.1,480|Lamp|0,0
5,0.1,486|People|0,1
5,0.1,486|People|1,0
5,0.1,486|People|2,1
5,0.1,486|People|3,0
5,0.1,486|People|4,1
5,0.1,486|People|5,1
5,0.1,486|People|6,0
5,0.1,486|Lamp|0,0
5,0.1,489|People|0,1
5,0.1,489|People|1,0
5,0.1,489|People|2,1
5,0.1,489|People|3,1
5,0.1,489|People|4,0
5,0.1,489|People|5,0
5,0.1,489|People|6,0
5,0.1,489|People|7,0
5,0.1,489|People|8,0
5,0.1,489|People|9,0
5,0.1,489|Lamp|0,1
5,0.1,489|Lamp|1,0
5,0.1,493|People|0,0
5,0.1,493|People|1,1
5,0.1,493|People|2,1
5,0.1,493|People|3,1
5,0.1,493|People|4,1
5,0.1,493|People|5,1
5,0.1,493|People|6,1
5,0.1,493|People|7,0
5,0.1,493|Lamp|0,0
5,0.1,494|People|0,1
5,0.1,494|People|1,0
5,0.1,494|People|2,0
5,0.1,494|People|3,0
5,0.1,494|People|4,0
5,0.1,494|Lamp|0,1
5,0.1,494|Lamp|1,1
5,0.1,494|Lamp|2,1
5,0.1,503|People|0,0
5,0.1,503|People|1,0
5,0.1,503|Lamp|0,1
5,0.1,503|Lamp|1,1
5,0.1,505|People|0,0
5,0.1,505|People|1,0
5,0.1,505|People|2,0
5,0.1,505|People|3,0
5,0.1,505|People|4,1
5,0.1,505|Lamp|0,1
5,0.1,507|People|0,1
5,0.1,507|People|1,0
5,0.1,507|People|2,0
5,0.1,507|People|3,0
5,0.1,507|People|4,0
5,0.1,507|People|5,1
5,0.1,507|People|6,1
5,0.1,507|Lamp|0,1
5,0.1,1190|People|0,0
5,0.1,1190|People|1,0
5,0.1,1190|People|2,0
5,0.1,1190|People|3,0
5,0.1,1190|People|4,0
5,0.1,1190|People|5,0
5,0.1,1190|People|6,1
5,0.1,1190|People|7,0
5,0.1,1190|Lamp|0,1
5,0.1,1196|People|0,1
5,0.1,1196|People|1,0
5,0.1,1196|Lamp|0,1
5,0.1,1199|People|0,0
5,0.1,1199|People|1,0
5,0.1,1199|People|2,0
5,0.1,1199|Lamp|0,1
5,0.1,1200|People|0,0
5,0.1,1200|People|1,1
5,0.1,1200|Lamp|0,1
5,0.1,1204|People|0,1
5,0.1,1204|People|1,1
