r,m,Fo
17,0.6,1.5621648452016117
17,0.7,1.5275076540065207
17,0.8,1.4957299852166155
17,0.9,1.466556488039983
17,1.0,1.439411758426056
17,1.1,1.4140324607649
17,1.2,1.3899853637195767
17,1.3,1.367277582289854
17,1.4,1.345524283629633
17,1.5,1.3247859085539555
17,1.6,1.305053613743252
17,1.7,1.2858390182512327
17,1.8,1.2675444788040313
17,1.9,1.2496926028371467
17,2.0,1.2328537478569077
19,0.3,1.6836837619742706
19,0.4,1.6417673016777512
19,0.5,1.6008855217834714
19,0.6,1.562680741418968
19,0.7,1.5276309189146318
19,0.8,1.495449503933499
19,0.9,1.4658334791298062
19,1.0,1.4380331796311532
19,1.1,1.4119390786290664
19,1.2,1.387193244878156
19,1.3,1.3637034458978026
19,1.4,1.341408607360944
19,1.5,1.3201704431234487
19,1.6,1.2997184937934019
19,1.7,1.2802192339423402
19,1.8,1.2612968588971782
19,1.9,1.2431229543193998
19,2.0,1.2258899268576458
21,0.3,1.6847109638668043
21,0.4,1.6426360805116154
21,0.5,1.6015801716276978
21,0.6,1.5630473318866447
21,0.7,1.5276438504030274
21,0.8,1.4949929667039716
21,0.9,1.4646810110620947
21,1.0,1.4362829087599114
21,1.1,1.4093179456052418
21,1.2,1.3839502767329093
21,1.3,1.3598354041277858
21,1.4,1.3368905227319967
21,1.5,1.3150525473795003
21,1.6,1.2942103197344295
21,1.7,1.274203041355377
21,1.8,1.2549033043432176
21,1.9,1.2362814411143666
21,2.0,1.2188848008654023
23,0.3,1.685791272309655
23,0.4,1.6436121556176058
23,0.5,1.6023182722851443
23,0.6,1.5635363149879524
23,0.7,1.5277954512305663
23,0.8,1.4946965354116566
23,0.9,1.4637693217392957
23,1.0,1.4346291118336367
23,1.1,1.4070868037095323
23,1.2,1.381003333441269
23,1.3,1.356234867391308
23,1.4,1.3327675852645637
23,1.5,1.3105099401452807
23,1.6,1.289242359773369
23,1.7,1.2689532615873904
23,1.8,1.2494624961480871
23,1.9,1.2306508006652668
23,2.0,1.2128442686886265
25,0.3,1.6870099888300416
25,0.4,1.6447404681704114
25,0.5,1.6032004991558244
25,0.6,1.5640992801011129
25,0.7,1.5279594649643042
25,0.8,1.4941720924215947
25,0.9,1.4624214687120685
25,1.0,1.4325798728102095
25,1.1,1.4042870729167038
25,1.2,1.3775845537806808
25,1.3,1.3522586091196651
25,1.4,1.328289418544663
25,1.5,1.3056143521404078
25,1.6,1.2840676851736632
25,1.7,1.263447001101685
25,1.8,1.2436641589772337
25,1.9,1.2245758895836454
25,2.0,1.2066331420798795
