r,m,Fo
3,1.05,1.4789600969695467
3,1.06,1.4767990867120673
3,1.07,1.4746566795359246
3,1.08,1.4725341591768852
3,1.09,1.4704240475616535
3,1.1,1.4683361129414145
3,1.11,1.4662871608457273
3,1.12,1.4642315632137457
3,1.13,1.462218972606757
3,1.14,1.4602274691598252
3,1.15,1.4582530726904601
3,1.16,1.4562994767942234
3,1.17,1.4543605455923239
3,1.18,1.452442365829677
3,1.19,1.4505454156513373
3,1.2,1.4486344270207407
3,1.21,1.4468095653825273
3,1.22,1.44496688607963
3,1.23,1.4431401294957824
3,1.24,1.4413470683373495
3,1.25,1.4395593533076723
3,1.26,1.437813030861699
3,1.27,1.436060912729338
3,1.28,1.4343325282331965
3,1.29,1.4326179315058607
3,1.3,1.430910622838283
3,1.31,1.429236617428832
3,1.32,1.427589921401904
3,1.33,1.4259262700625126
3,1.34,1.4243102451602765
3,1.35,1.4226965139197711
3,1.36,1.4210814593862533
3,1.37,1.419510269498253
3,1.38,1.4179252409192953
3,1.39,1.4163819104886368
3,1.4,1.4148401300588336
3,1.41,1.4133093294375776
3,1.42,1.4117883192218343
3,1.43,1.4102792176346843
3,1.44,1.4087926054985267
3,1.45,1.4073189847511642
3,1.46,1.4058667075388698
3,1.47,1.4044255144817246
3,1.48,1.402991731770132
3,1.49,1.4015598330083252
3,1.5,1.4001223954757025
3,1.51,1.3987402911710995
3,1.52,1.3973528811944036
3,1.53,1.3959646893240383
3,1.54,1.3946029883990692
3,1.55,1.3932535385381868
3,1.56,1.3919129247650925
3,1.57,1.3905725695139137
3,1.58,1.3892521436578444
3,1.59,1.3879373957560055
3,1.6,1.3866274169047423
3,1.61,1.3853670817281447
3,1.62,1.3840721933618754
3,1.63,1.382806885424004
3,1.64,1.381549428137948
3,1.65,1.380296957507601
3,1.66,1.3790516902405994
3,1.67,1.377812066711834
3,1.68,1.3766105162534028
3,1.69,1.3754162816313007
3,1.7,1.3741997535075312
3,1.71,1.3729981024127216
3,1.72,1.3718040006953052
3,1.73,1.370624062000828
3,1.74,1.3694599227613828
3,1.75,1.3682772560673973
3,1.76,1.3671317640216876
3,1.77,1.3659948382963591
3,1.78,1.3648638584124757
3,1.79,1.3637228302236757
3,1.8,1.3625945356402045
3,1.81,1.361476488295753
3,1.82,1.3603818268708767
3,1.83,1.3592812148831765
3,1.84,1.3581951187557433
3,1.85,1.3570908118202805
3,1.86,1.356011160570991
3,1.87,1.3549544523533734
3,1.88,1.3538918917180658
3,1.89,1.3528264584576617
3,1.9,1.351762576161293
