method,image,r,m,EN,SD,FE,MG,MI_vis,MI_ir,SF,SSIM,PSNR,Qabf,Nabf,SCD,VIF,FMI,Q0,QW,QE
Referencia_OyE_m0622,Athena_helicopter_helib_011,25,0.622,5.592619503107878,0.061866793781518936,1.2093011282640833,0.01950882375240326,0.869554310859345,0.40637558764342807,8.435545105410183,0.7467908133501417,18.24723341614339,0.42833309141459214,0.4128979405334292,1.7606138654596444,0.4726132318858279,0.16299543316330148,0.6788911293676743,0.6880292645405895,0.48663813765595193
Referencia_OyE_m0622,Athena_lake_lake,25,0.622,7.005350257818569,0.13616926968097687,1.0137548935777885,0.03345347195863724,0.7385921036067057,0.25384709452014165,15.515740740855563,0.6304399899595223,16.122371640895953,0.48848566717991004,0.3629003034780471,1.6788795891182846,0.36994229550003777,0.2021874797748035,0.6946713326419615,0.8118652095953824,0.5335515069833554
Referencia_OyE_m0622,Athena_man_in_doorway_maninhuis,25,0.622,7.48128539314434,0.18582895398139954,1.0432642705186495,0.04624447599053383,0.7199381820071016,0.2743144373510913,20.034533335944623,0.594473105753486,14.226296220470394,0.4756630460904696,0.3599323547463986,1.789268544234575,0.29559986610986233,0.17230875591512712,0.6799541863029339,0.7864558866672412,0.2697671851224318
Referencia_OyE_m0622,Athena_soldier_behind_smoke_1_meting012-1200,25,0.622,7.5085690347965155,0.1881299465894699,1.1044416352126858,0.04183945432305336,0.9795326880059982,0.2801077537352702,18.29478982262154,0.5572143443655695,12.957423052839234,0.47263825277465066,0.38815012354198525,1.3862762121114525,0.34369824750137234,0.17650901655187354,0.6554181607191462,0.7939042234184199,0.2667871244173171
Referencia_OyE_m0622,Athena_soldier_behind_smoke_2_meting012-1500,25,0.622,7.290484927743512,0.1641273945569992,1.1737183733339047,0.03373100236058235,0.991768903115308,0.4234074093218701,16.131367430852016,0.5846031079158629,11.06677837689462,0.46919845981601455,0.3605802977818455,1.5791527474189635,0.37603147922890645,0.15649892030230983,0.6448822433175435,0.7718879453835322,0.30464835934501105
Referencia_OyE_m0622,Athena_soldier_behind_smoke_3_meting012-1700,25,0.622,7.409963139938897,0.16823294758796692,1.0591304133912405,0.04935088008642197,1.0123169853066223,0.20173597002960567,22.760847792600348,0.5648715751454783,13.402506917431872,0.482958403510692,0.4021454072964852,1.6147688292485958,0.3212676187801604,0.18313261046372362,0.6988796914053155,0.8067329515498907,0.31019472683387095
Referencia_OyE_m0622,Athena_soldier_in_trench_1_meting016,25,0.622,7.096031708971641,0.14072474837303162,1.034758440239941,0.0388050302863121,0.972049074618474,0.3375981746256116,19.22703497483017,0.6214704418845689,15.933251438506739,0.5448336182639217,0.34904260348923394,1.6467211528118724,0.40566768148227295,0.21691222384926337,0.7574736096956319,0.8655008081167139,0.49213266952216767
Referencia_OyE_m0622,Athena_soldier_in_trench_2_meting055,25,0.622,6.95733717350979,0.12861807644367218,1.0534880794632875,0.04633277282118797,0.9560688440707992,0.18925784275839658,22.01631209279294,0.5787176363112696,18.05839185900695,0.5936212859970795,0.34106018609392386,1.6664340198374232,0.4972503283901982,0.2529471104611425,0.791713034629043,0.8895646878870799,0.4550432364495763
Referencia_OyE_m0622,Triclobs_Bosnia_R,25,0.622,7.047594361783448,0.23457056283950806,1.1829245995167725,0.03158324584364891,0.8643872155856585,1.2610756900424294,20.46507986176296,0.6657006065080542,14.673519205956305,0.4739305564476616,0.4067371348903767,1.1286122252950395,0.43487322080790036,0.20523879573101278,0.6643260456922792,0.8603988394213312,0.7777879400450881
Referencia_OyE_m0622,Triclobs_Kaptein_1123,25,0.622,7.048623024547356,0.16081689298152924,1.0078472966326817,0.030675463378429413,0.7655779726274337,0.6369115163476625,13.26713165603918,0.6494451676992163,15.571811961295918,0.42589522216864517,0.4004233544550478,1.6153087849926258,0.35988627798288364,0.13426251464466182,0.6284896811831385,0.74174816641921,0.4867788077024551
Referencia_OyE_m0622,Triclobs_jeep_in_smoke_R,25,0.622,7.441670047187228,0.18886370956897736,1.0894423359752679,0.06132098659873009,1.2207124306755275,0.8874202381604621,34.25939786616964,0.5530505325163428,15.17317761312827,0.47097089599938874,0.4400126147452449,1.4376687643198103,0.38425830375465625,0.20032942948537794,0.7248787401758421,0.8177333599888096,0.6771138292497023
