metric,tophat,baseline,mean_tophat,mean_baseline,diff,wilcoxon_W,p_value,effect_r,p_holm,sig_holm_05
MG,TopHat_cross_L3,Curvelet,0.0226,0.0256,-0.003,0.0,0.0001318338889828333,-1.0,0.0024,True
MG,TopHat_cross_L3,Multiescala_n8,0.0226,0.0186,0.0039,1.0,3.814697265625e-06,0.99,0.0001,True
MG,TopHat_cross_L3,Optimo_Multiescala,0.0226,0.0209,0.0016,20.0,0.0007076263427734375,0.81,0.0024,True
MG,TopHat_cross_L3,PiramideLaplace,0.0226,0.0248,-0.0022,0.0,0.0001318338889828333,-1.0,0.0024,True
MG,TopHat_cross_L3,Promedio,0.0226,0.0144,0.0082,0.0,0.0001318338889828333,1.0,0.0024,True
MG,TopHat_cross_L3,Propuesta_Novedosa,0.0226,0.0191,0.0035,2.0,5.7220458984375e-06,0.981,0.0001,True
MG,TopHat_cross_L3_BTH,Curvelet,0.0444,0.0256,0.0187,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_cross_L3_BTH,Multiescala_n8,0.0444,0.0186,0.0257,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_cross_L3_BTH,Optimo_Multiescala,0.0444,0.0209,0.0234,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_cross_L3_BTH,PiramideLaplace,0.0444,0.0248,0.0196,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_cross_L3_BTH,Promedio,0.0444,0.0144,0.0299,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_cross_L3_BTH,Propuesta_Novedosa,0.0444,0.0191,0.0253,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L3,Curvelet,0.023,0.0256,-0.0026,0.0,0.0001318338889828333,-1.0,0.0024,True
MG,TopHat_disk_L3,Multiescala_n8,0.023,0.0186,0.0044,1.0,3.814697265625e-06,0.99,0.0001,True
MG,TopHat_disk_L3,Optimo_Multiescala,0.023,0.0209,0.0021,18.0,0.0004825592041015625,0.829,0.0024,True
MG,TopHat_disk_L3,PiramideLaplace,0.023,0.0248,-0.0018,0.0,0.0001318338889828333,-1.0,0.0024,True
MG,TopHat_disk_L3,Promedio,0.023,0.0144,0.0086,0.0,0.0001318338889828333,1.0,0.0024,True
MG,TopHat_disk_L3,Propuesta_Novedosa,0.023,0.0191,0.004,2.0,5.7220458984375e-06,0.981,0.0001,True
MG,TopHat_disk_L3_BTH,Curvelet,0.0444,0.0256,0.0188,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L3_BTH,Multiescala_n8,0.0444,0.0186,0.0257,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L3_BTH,Optimo_Multiescala,0.0444,0.0209,0.0235,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L3_BTH,PiramideLaplace,0.0444,0.0248,0.0196,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L3_BTH,Promedio,0.0444,0.0144,0.03,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L3_BTH,Propuesta_Novedosa,0.0444,0.0191,0.0253,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L5,Curvelet,0.0235,0.0256,-0.0021,0.0,0.0001318338889828333,-1.0,0.0024,True
MG,TopHat_disk_L5,Multiescala_n8,0.0235,0.0186,0.0049,1.0,3.814697265625e-06,0.99,0.0001,True
MG,TopHat_disk_L5,Optimo_Multiescala,0.0235,0.0209,0.0026,18.0,0.0004825592041015625,0.829,0.0024,True
MG,TopHat_disk_L5,PiramideLaplace,0.0235,0.0248,-0.0013,6.0,0.00034155628132162525,-0.937,0.0024,True
MG,TopHat_disk_L5,Promedio,0.0235,0.0144,0.0091,0.0,0.0001318338889828333,1.0,0.0024,True
MG,TopHat_disk_L5,Propuesta_Novedosa,0.0235,0.0191,0.0045,1.0,3.814697265625e-06,0.99,0.0001,True
MG,TopHat_disk_L5_BTH,Curvelet,0.0473,0.0256,0.0217,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L5_BTH,Multiescala_n8,0.0473,0.0186,0.0287,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L5_BTH,Optimo_Multiescala,0.0473,0.0209,0.0264,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L5_BTH,PiramideLaplace,0.0473,0.0248,0.0225,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L5_BTH,Promedio,0.0473,0.0144,0.0329,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_disk_L5_BTH,Propuesta_Novedosa,0.0473,0.0191,0.0283,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_square_L3,Curvelet,0.0231,0.0256,-0.0026,0.0,0.0001318338889828333,-1.0,0.0024,True
MG,TopHat_square_L3,Multiescala_n8,0.0231,0.0186,0.0044,1.0,3.814697265625e-06,0.99,0.0001,True
MG,TopHat_square_L3,Optimo_Multiescala,0.0231,0.0209,0.0021,18.0,0.0004825592041015625,0.829,0.0024,True
MG,TopHat_square_L3,PiramideLaplace,0.0231,0.0248,-0.0017,0.0,0.0001318338889828333,-1.0,0.0024,True
MG,TopHat_square_L3,Promedio,0.0231,0.0144,0.0086,0.0,0.0001318338889828333,1.0,0.0024,True
MG,TopHat_square_L3,Propuesta_Novedosa,0.0231,0.0191,0.004,2.0,5.7220458984375e-06,0.981,0.0001,True
MG,TopHat_square_L3_BTH,Curvelet,0.044,0.0256,0.0184,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_square_L3_BTH,Multiescala_n8,0.044,0.0186,0.0254,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_square_L3_BTH,Optimo_Multiescala,0.044,0.0209,0.0231,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_square_L3_BTH,PiramideLaplace,0.044,0.0248,0.0192,0.0,1.9073486328125e-06,1.0,0.0001,True
MG,TopHat_square_L3_BTH,Promedio,0.044,0.0144,0.0296,0.0,1.9073486328125e-06,1.0,0.0001,True
