imagen,particulas,iteraciones,r,m,SSIM_avg,E,SF,SD,PSNR,FO
APC_1_view_3_fk_ref_02_005,6,50,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,8,10,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,8,20,2,0.3,0.748943,7.025284,18.60219,0.140787,20.098105,1.849446
APC_1_view_3_fk_ref_02_005,8,30,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,8,40,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,8,50,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,10,10,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,10,20,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,10,30,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,10,40,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_1_view_3_fk_ref_02_005,10,50,1,0.3,0.772578,6.995213,16.537087,0.13805,20.246647,1.849446
APC_3_view_1_fk_bar_06_005,2,10,1,1.5353,0.505472,6.833228,30.170916,0.113714,21.919783,1.578832
APC_3_view_1_fk_bar_06_005,2,20,2,0.3,0.810986,6.519594,15.450467,0.098598,23.857905,1.881469
APC_3_view_1_fk_bar_06_005,2,30,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,2,40,1,1.3634,0.543991,6.786021,27.815633,0.11073,22.282199,1.615073
APC_3_view_1_fk_bar_06_005,2,50,15,0.3,0.741308,6.855042,18.227702,0.125323,21.810646,1.817051
APC_3_view_1_fk_bar_06_005,4,10,25,0.3,0.731685,6.941351,18.328458,0.132893,21.225682,1.811611
APC_3_view_1_fk_bar_06_005,4,20,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,4,30,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,4,40,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,4,50,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,6,10,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,6,20,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,6,30,2,0.3,0.810986,6.519594,15.450467,0.098598,23.857905,1.881469
APC_3_view_1_fk_bar_06_005,6,40,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,6,50,2,0.3,0.810986,6.519594,15.450467,0.098598,23.857905,1.881469
APC_3_view_1_fk_bar_06_005,8,10,2,0.3,0.810986,6.519594,15.450467,0.098598,23.857905,1.881469
APC_3_view_1_fk_bar_06_005,8,20,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,8,30,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,8,40,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,8,50,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,10,10,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,10,20,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,10,30,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,10,40,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_1_fk_bar_06_005,10,50,1,0.3,0.830031,6.484897,13.885112,0.095772,24.08256,1.881469
APC_3_view_2_fk_NL_01_005,2,10,1,0.9476,0.653735,6.877314,19.093177,0.124704,20.029986,1.713709
APC_3_view_2_fk_NL_01_005,2,20,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,2,30,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,2,40,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,2,50,1,0.4554,0.78857,6.738437,12.999758,0.120358,20.329472,1.834177
APC_3_view_2_fk_NL_01_005,4,10,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,4,20,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,4,30,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,4,40,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,4,50,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,6,10,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,6,20,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,6,30,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,6,40,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,6,50,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,8,10,21,0.3,0.732829,6.911877,14.182471,0.137485,19.572855,1.79286
APC_3_view_2_fk_NL_01_005,8,20,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,8,30,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,8,40,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,8,50,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,10,10,2,0.3,0.803475,6.725273,12.107688,0.1205,20.342794,1.86335
APC_3_view_2_fk_NL_01_005,10,20,25,0.3,0.73046,6.930555,14.190984,0.138819,19.496561,1.791885
APC_3_view_2_fk_NL_01_005,10,30,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,10,40,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_2_fk_NL_01_005,10,50,1,0.3,0.822492,6.695157,11.014258,0.119165,20.396367,1.86335
APC_3_view_3_fk_NL_05_005,2,10,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,2,20,4,0.3775,0.720601,6.961096,13.165601,0.129941,18.415777,1.790405
APC_3_view_3_fk_NL_05_005,2,30,10,0.3,0.722872,6.999508,12.558507,0.136474,18.263212,1.782476
APC_3_view_3_fk_NL_05_005,2,40,2,0.3,0.782687,6.883304,10.574649,0.124139,18.586155,1.842335
APC_3_view_3_fk_NL_05_005,2,50,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,4,10,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,4,20,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,4,30,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,4,40,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,4,50,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,6,10,2,0.3,0.782687,6.883304,10.574649,0.124139,18.586155,1.842335
APC_3_view_3_fk_NL_05_005,6,20,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,6,30,2,0.3,0.782687,6.883304,10.574649,0.124139,18.586155,1.842335
APC_3_view_3_fk_NL_05_005,6,40,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,6,50,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,8,10,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,8,20,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,8,30,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,8,40,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,8,50,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,10,10,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,10,20,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,10,30,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,10,40,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
APC_3_view_3_fk_NL_05_005,10,50,1,0.3,0.798607,6.859984,9.389475,0.122648,18.622935,1.842335
Athena_2_men_in_front_of_house_meting003,2,10,1,1.0443,0.629748,6.613271,17.488366,0.101451,15.691861,1.613329
Athena_2_men_in_front_of_house_meting003,2,20,1,0.3,0.749525,6.483254,9.849314,0.094235,15.845783,1.71839
Athena_2_men_in_front_of_house_meting003,2,30,1,1.008,0.636416,6.606205,17.100399,0.10103,15.702492,1.619224
Athena_2_men_in_front_of_house_meting003,2,40,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,2,50,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,4,10,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,4,20,1,0.3,0.749525,6.483254,9.849314,0.094235,15.845783,1.71839
Athena_2_men_in_front_of_house_meting003,4,30,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,4,40,1,0.3,0.749525,6.483254,9.849314,0.094235,15.845783,1.71839
Athena_2_men_in_front_of_house_meting003,4,50,1,0.3,0.749525,6.483254,9.849314,0.094235,15.845783,1.71839
Athena_2_men_in_front_of_house_meting003,6,10,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,6,20,1,0.3,0.749525,6.483254,9.849314,0.094235,15.845783,1.71839
Athena_2_men_in_front_of_house_meting003,6,30,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,6,40,1,0.3,0.749525,6.483254,9.849314,0.094235,15.845783,1.71839
Athena_2_men_in_front_of_house_meting003,6,50,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,8,10,2,0.3,0.732834,6.538139,11.807841,0.098934,15.794618,1.71839
Athena_2_men_in_front_of_house_meting003,8,20,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,8,30,1,0.3,0.749525,6.483254,9.849314,0.094235,15.845783,1.71839
Athena_2_men_in_front_of_house_meting003,8,40,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,8,50,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,10,10,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,10,20,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,10,30,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,10,40,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_2_men_in_front_of_house_meting003,10,50,25,0.3,0.666378,7.067177,15.654343,0.14373,15.169368,1.701469
Athena_APC_4_fennek01_005,2,10,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,2,20,23,0.3,0.695351,6.341951,13.33683,0.079265,21.689084,1.704986
Athena_APC_4_fennek01_005,2,30,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,2,40,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,2,50,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,4,10,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,4,20,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,4,30,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,4,40,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,4,50,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,6,10,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,6,20,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,6,30,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,6,40,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,6,50,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,8,10,2,0.3,0.763946,5.662147,10.873327,0.049348,22.853367,1.705663
Athena_APC_4_fennek01_005,8,20,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,8,30,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,8,40,2,0.3,0.763946,5.662147,10.873327,0.049348,22.853367,1.705663
Athena_APC_4_fennek01_005,8,50,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,10,10,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,10,20,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,10,30,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_APC_4_fennek01_005,10,40,1,0.3,0.780284,5.567366,9.692819,0.045981,22.945782,1.705663
Athena_APC_4_fennek01_005,10,50,25,0.3,0.694497,6.355955,13.343127,0.079941,21.653528,1.705527
Athena_heather_IR_hei_vis_g,2,10,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,2,20,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,2,30,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,2,40,9,0.3,0.922118,7.132321,9.193863,0.210125,29.689385,2.122858
Athena_heather_IR_hei_vis_g,2,50,25,0.3,0.856528,7.046189,10.402114,0.230816,24.053881,1.97784
Athena_heather_IR_hei_vis_g,4,10,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,4,20,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,4,30,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,4,40,2,0.3,0.987791,7.108433,6.780389,0.197884,43.587017,2.383254
Athena_heather_IR_hei_vis_g,4,50,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,6,10,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,6,20,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,6,30,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,6,40,2,0.3,0.987791,7.108433,6.780389,0.197884,43.587017,2.383254
Athena_heather_IR_hei_vis_g,6,50,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,8,10,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,8,20,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,8,30,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,8,40,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,8,50,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,10,10,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,10,20,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,10,30,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,10,40,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_IR_hei_vis_g,10,50,1,0.3,0.996548,7.098178,6.214167,0.197338,49.943398,2.383254
Athena_heather_hei_vis,2,10,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,2,20,5,0.388,0.600133,6.907554,18.171647,0.121571,15.842302,1.628197
Athena_heather_hei_vis,2,30,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,2,40,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,2,50,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,4,10,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,4,20,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,4,30,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,4,40,25,0.3,0.614821,7.13527,16.450108,0.144019,15.481118,1.661541
Athena_heather_hei_vis,4,50,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,6,10,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,6,20,2,0.3,0.676348,6.780883,14.06933,0.110971,16.041479,1.700731
Athena_heather_hei_vis,6,30,1,0.3,0.698661,6.729061,12.098656,0.10715,16.093714,1.700731
Athena_heather_hei_vis,6,40,25,0.3,0.614821,7.13527,16.450108,0.144019,15.481118,1.661541
