metodo,parametro,valor,clave,imagen,EN,SD,FE,MG,MI_vis,MI_ir,SF,SSIM,PSNR,Qabf,Nabf,SCD,VIF,FMI,Q0,QW,QE
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_APC_4_fennek01_005,6.119465481507053,0.06746748834848404,0.9750136043373796,0.022261952981352806,1.6823408214162825,0.37545516276387697,9.68818363613777,0.7339954935247655,20.13079132981194,0.3700053123290398,0.11915064550143954,1.5144325355678985,0.3234589013927431,0.1543022658052214,0.6932300587459458,0.7572342112336234,0.44994203063646154
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_heather_hei_vis,6.708866919419116,0.10453752428293228,0.9350097303036293,0.025183670222759247,0.6681683603026702,1.1601266400906436,12.541163651967322,0.6529045223620866,13.265176952748911,0.3974025405285199,0.13119316673870074,1.1898685437055607,0.22804510717575935,0.17266381845137038,0.6213631074157523,0.6492660742905979,0.11943997383619294
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_helicopter_helib_011,5.024626595937723,0.051972001791000366,1.086483106565099,0.012831884436309338,2.6486566836525056,0.41435396383253753,5.656831949767054,0.7889211973087544,15.574885933124328,0.23823963423055944,0.06604327729957081,1.6815662001485179,0.4232743406749496,0.28199133577702734,0.7527224285499795,0.6855407604786538,0.4728319163777533
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_lake_lake,7.056950034345051,0.1675720512866974,1.021221975741576,0.022539425641298294,2.5969575403087584,0.7544915970758774,11.952550068352343,0.7082412853741566,14.095164289084043,0.3498398600856386,0.08016533449141718,1.7094939985228783,0.3583314403280857,0.27858359535575933,0.7029848051972503,0.8245703067472118,0.6195456628349261
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_man_in_doorway_maninhuis,7.1470459753255025,0.17627890408039093,0.9966546273777946,0.031899046152830124,2.1742289521486415,0.8574658767900079,15.043137178047317,0.6475216038833371,12.67803161994892,0.43662518508506376,0.08225730669474378,1.5578591527233192,0.3210735259056927,0.26300455455086297,0.6740954223176799,0.8089924463412135,0.2730038547035473
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_soldier_behind_smoke_1_meting012-1200,7.127759086605125,0.2320372462272644,1.0484279846839795,0.028169145807623863,3.928367990714495,0.17544868867573507,13.983051845401837,0.6341573065836619,10.69471818963537,0.3493488864737978,0.05804241782169375,1.258659096651737,0.4118448797834855,0.35200687692650956,0.6892917036627453,0.8517031710483369,0.2624840614613552
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_soldier_behind_smoke_2_meting012-1500,6.408704949633077,0.23501859605312347,1.031757808048638,0.022195039317011833,3.075583140650288,0.1943952860054502,13.121420826869523,0.6424369951326319,8.309373470600438,0.3669766919250581,0.07165057664050019,1.4132051173697606,0.3682715748129488,0.30254474360104205,0.5805995746546592,0.7869818835659533,0.29690931570402845
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_soldier_behind_smoke_3_meting012-1700,7.334676456127448,0.19851543009281158,1.0483694399501857,0.033153630793094635,3.7656187918645863,0.18090214507655392,16.496920963196004,0.6342276347403678,10.963623076873432,0.3802875036126253,0.07002584597247488,1.4889015308274627,0.39332173128180475,0.3271559622558662,0.7528785597853729,0.8549700863720485,0.33660586325418257
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_soldier_in_trench_1_meting016,7.104635752667472,0.16949178278446198,1.0360131001963218,0.025895845144987106,3.03102503664281,0.8098402015818993,14.178675241972439,0.7145091798692047,13.858376181323331,0.33994230363555356,0.07104549953860308,1.7593536495374913,0.4079867426995081,0.3044033692266801,0.8084186840269671,0.8842339630155867,0.5295097624957652
PiramideLaplace,levels,3,PiramideLaplace|3,Athena_soldier_in_trench_2_meting055,6.688673384452376,0.11815731227397919,1.0128066963282163,0.029072828590869904,2.2607937570481713,0.617558430772492,15.010153658474795,0.6999002495525947,16.680763896107223,0.4283381307212187,0.07722263105678599,1.5955947603996514,0.43363418832469786,0.31226188417111217,0.8498021553070851,0.9152707458475559,0.48411942108405376
