imagen,particulas,iteraciones,r,m,SSIM_avg,E,SF,SD,PSNR,FO
APC_1_view_3_fk_ref_02_005,6,40,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.87781
APC_1_view_3_fk_ref_02_005,6,50,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.87781
APC_1_view_3_fk_ref_02_005,8,10,24,0.01,0.808949,6.912588,8.987187,0.133971,20.478741,1.87781
APC_1_view_3_fk_ref_02_005,8,20,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.87781
APC_1_view_3_fk_ref_02_005,8,30,25,0.0173,0.808603,6.917931,9.346446,0.134719,20.473615,1.878081
APC_1_view_3_fk_ref_02_005,8,40,18,0.0194,0.808424,6.919619,9.449501,0.134627,20.472841,1.878124
APC_1_view_3_fk_ref_02_005,8,50,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.87781
APC_1_view_3_fk_ref_02_005,10,10,24,0.0196,0.80842,6.919501,9.459265,0.134896,20.471624,1.878073
APC_1_view_3_fk_ref_02_005,10,20,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.877803
APC_1_view_3_fk_ref_02_005,10,30,25,0.0173,0.808605,6.917916,9.345372,0.134716,20.473634,1.878081
APC_1_view_3_fk_ref_02_005,10,40,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.87781
APC_1_view_3_fk_ref_02_005,10,50,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.87781
APC_3_view_1_fk_bar_06_005,2,10,1,1.4561,0.522765,6.811449,29.08044,0.112317,22.088229,1.595072
APC_3_view_1_fk_bar_06_005,2,20,20,0.01,0.859745,6.402591,7.783448,0.09145,24.47372,1.904806
APC_3_view_1_fk_bar_06_005,2,30,25,0.01,0.859745,6.403852,7.785315,0.091534,24.473113,1.904958
APC_3_view_1_fk_bar_06_005,2,40,1,1.2546,0.570328,6.755483,26.34607,0.108936,22.504717,1.63982
APC_3_view_1_fk_bar_06_005,2,50,21,0.01,0.859744,6.402927,7.783798,0.091472,24.473564,1.904845
APC_3_view_1_fk_bar_06_005,4,10,25,0.01,0.859745,6.403852,7.785315,0.091534,24.473113,1.904958
APC_3_view_1_fk_bar_06_005,4,20,25,0.01,0.859745,6.403852,7.785315,0.091534,24.473113,1.904958
APC_3_view_1_fk_bar_06_005,4,30,25,0.054,0.855166,6.520376,9.627336,0.096876,24.30348,1.91325
APC_3_view_1_fk_bar_06_005,4,40,25,0.01,0.859745,6.403852,7.785315,0.091534,24.473113,1.904958
APC_3_view_1_fk_bar_06_005,4,50,25,0.01,0.859745,6.403852,7.785315,0.091534,24.473113,1.904958
APC_3_view_1_fk_bar_06_005,6,10,25,0.0526,0.855446,6.517299,9.568871,0.096697,24.312199,1.913231
APC_3_view_1_fk_bar_06_005,6,20,25,0.0551,0.854933,6.522668,9.674936,0.097021,24.296232,1.913233
APC_3_view_1_fk_bar_06_005,6,30,25,0.01,0.859745,6.403852,7.785315,0.091534,24.473113,1.904958
APC_3_view_1_fk_bar_06_005,6,40,25,0.0541,0.855152,6.520549,9.630239,0.096885,24.303042,1.913255
APC_3_view_1_fk_bar_06_005,6,50,25,0.0541,0.855152,6.52058,9.630245,0.096885,24.303041,1.913255
APC_3_view_1_fk_bar_06_005,8,10,25,0.01,0.859745,6.403852,7.785315,0.091534,24.473113,1.904958
APC_3_view_1_fk_bar_06_005,8,20,24,0.0562,0.854733,6.523815,9.720871,0.097069,24.292237,1.913018
APC_3_view_1_fk_bar_06_005,8,30,25,0.0541,0.855138,6.520725,9.633107,0.096893,24.302609,1.913255
APC_3_view_1_fk_bar_06_005,8,40,25,0.0541,0.855143,6.520674,9.632112,0.09689,24.302759,1.913255
APC_3_view_1_fk_bar_06_005,8,50,25,0.0541,0.855145,6.520657,9.631744,0.096889,24.302815,1.913255
APC_3_view_1_fk_bar_06_005,10,10,20,0.0614,0.853851,6.528754,9.92825,0.09728,24.275219,1.912718
APC_3_view_1_fk_bar_06_005,10,20,25,0.054,0.855169,6.520345,9.626748,0.096874,24.303569,1.91325
APC_3_view_1_fk_bar_06_005,10,30,25,0.01,0.859745,6.403852,7.785315,0.091534,24.473113,1.904958
APC_3_view_1_fk_bar_06_005,10,40,25,0.0541,0.855143,6.520675,9.632102,0.09689,24.30276,1.913255
APC_3_view_1_fk_bar_06_005,10,50,25,0.0541,0.855155,6.520522,9.629789,0.096883,24.30311,1.913255
APC_3_view_2_fk_NL_01_005,2,10,1,0.7681,0.703976,6.82774,16.819763,0.122947,20.158959,1.759038
APC_3_view_2_fk_NL_01_005,2,20,20,0.0431,0.847147,6.657595,7.328822,0.118957,20.46355,1.883984
APC_3_view_2_fk_NL_01_005,2,30,1,0.0912,0.848103,6.632008,7.51459,0.117362,20.477091,1.881875
APC_3_view_2_fk_NL_01_005,2,40,1,0.0842,0.848417,6.629264,7.39839,0.117311,20.478437,1.88186
APC_3_view_2_fk_NL_01_005,2,50,1,0.0903,0.848148,6.6316,7.498648,0.117355,20.477281,1.881871
APC_3_view_2_fk_NL_01_005,4,10,1,0.01,0.849086,6.598666,6.221717,0.116838,20.486032,1.878779
APC_3_view_2_fk_NL_01_005,4,20,1,0.0914,0.848095,6.632015,7.517128,0.117363,20.47706,1.881869
APC_3_view_2_fk_NL_01_005,4,30,1,0.0807,0.848556,6.628109,7.341602,0.117287,20.479058,1.881859
APC_3_view_2_fk_NL_01_005,4,40,25,0.01,0.8492,6.607134,6.35886,0.117291,20.484775,1.879939
APC_3_view_2_fk_NL_01_005,4,50,25,0.044,0.84688,6.66295,7.355143,0.11918,20.459815,1.88435
APC_3_view_2_fk_NL_01_005,6,10,2,0.0726,0.847975,6.633631,7.503405,0.117484,20.476813,1.881951
APC_3_view_2_fk_NL_01_005,6,20,24,0.0451,0.846728,6.664156,7.388056,0.119223,20.459029,1.884337
APC_3_view_2_fk_NL_01_005,6,30,25,0.044,0.846872,6.663029,7.356831,0.119183,20.459747,1.88435
APC_3_view_2_fk_NL_01_005,6,40,25,0.01,0.8492,6.607134,6.35886,0.117291,20.484775,1.879939
APC_3_view_2_fk_NL_01_005,6,50,25,0.044,0.846882,6.662917,7.354622,0.119179,20.459836,1.88435
APC_3_view_2_fk_NL_01_005,8,10,24,0.0447,0.846784,6.663668,7.37678,0.119201,20.459483,1.884339
APC_3_view_2_fk_NL_01_005,8,20,25,0.044,0.846874,6.663019,7.356328,0.119182,20.459767,1.88435
APC_3_view_2_fk_NL_01_005,8,30,25,0.044,0.846873,6.663016,7.356484,0.119182,20.459761,1.88435
APC_3_view_2_fk_NL_01_005,8,40,25,0.0447,0.846777,6.663869,7.376016,0.119221,20.458968,1.88435
APC_3_view_2_fk_NL_01_005,8,50,25,0.044,0.846871,6.663017,7.357005,0.119183,20.45974,1.88435
APC_3_view_2_fk_NL_01_005,10,10,25,0.01,0.8492,6.607134,6.35886,0.117291,20.484775,1.879939
APC_3_view_2_fk_NL_01_005,10,20,25,0.01,0.8492,6.607134,6.35886,0.117291,20.484775,1.879939
APC_3_view_2_fk_NL_01_005,10,30,25,0.044,0.84688,6.662948,7.35511,0.11918,20.459816,1.88435
APC_3_view_2_fk_NL_01_005,10,40,25,0.044,0.84688,6.66295,7.355178,0.11918,20.459813,1.88435
APC_3_view_2_fk_NL_01_005,10,50,25,0.044,0.846879,6.662955,7.355318,0.11918,20.459808,1.88435
APC_3_view_3_fk_NL_05_005,2,10,8,0.0231,0.819614,6.807277,6.210417,0.121929,18.652012,1.856902
APC_3_view_3_fk_NL_05_005,2,20,4,0.0782,0.816799,6.830612,7.264495,0.122589,18.642195,1.857386
APC_3_view_3_fk_NL_05_005,2,30,25,0.01,0.819311,6.801341,5.925163,0.121724,18.65333,1.856012
APC_3_view_3_fk_NL_05_005,2,40,25,0.01,0.819311,6.801341,5.925163,0.121724,18.65333,1.856012
APC_3_view_3_fk_NL_05_005,2,50,1,0.01,0.8189,6.792962,5.79664,0.121208,18.65412,1.854561
APC_3_view_3_fk_NL_05_005,4,10,19,0.017,0.819529,6.806976,6.089449,0.122037,18.652074,1.856889
APC_3_view_3_fk_NL_05_005,4,20,25,0.01,0.819311,6.801341,5.925163,0.121724,18.65333,1.856012
APC_3_view_3_fk_NL_05_005,4,30,1,0.01,0.8189,6.792962,5.79664,0.121208,18.65412,1.854561
